댓글 작성자,영상 시간,댓글 내용
Araceli Hernandez,1:49,hey love you 😍 😘 💗 💕
Xiomara Duhaney,1:49,Hi hi
BBVA u VS kauai,1:49,omg
C x c o a ii,1:49,Are you gonna go in random duos?
Aly Sanchez,1:49,ahh
Eva oof girl:D,1:49,I love your video!!
Laura Dinsdale,1:50,:goodvibes:
Lucy cruture,1:50,hello
TTV_KobeYT JJ,1:50,can we play pls it's been my dream🥺🙏🙏💓
Roblox gamer Lol,1:50,HI LIA PLEASE SAY HI AVA YOU ARE MY IDOL ❤️❤️❤️❤️❤️💖💖
Henry Rogers jr,1:50,:yt::washhands:
N & D Mkomadzinja,1:50,hi
Iva ;3,1:51,Lia you make my day every time you post ❤❤❤❤❤❤
Liv Biv,1:51,Heyyyyy
Angel Prempeh,1:51,Hello Sssniperwolf
Gerald Bailey,1:51,Hi
꧁Coco Cookie Bear꧂,1:51,Hiiiiii
Kylianna Mauricio,1:51,Sssniperwolf
「ʚ pasteliichu ɞ 」,1:51,Hi sniper!!!
Alex Williamson,1:51,Hey
Diana Wimmer,1:51,hello!!!!!!
Frex Rais,1:51,#sssniperwolf to 30 mill
Pet Life,1:51,Ghost Sniper
Diva1004 AJ and MORE,1:51,Wow
ZachGaming_Yt,1:51,im ud fan!
Jaden Hall,1:51,Love sssniper wolf
Elina Nauman,1:51,HI
bxbby fortnite bxbby fortnite,1:51,hu
Courtney Francisco,1:51,Would you get another doggie
Madison Pintado,1:51,👋
Ally_trashbag :p,1:52,👁👄👁
Karla Rivera,1:52,hi big fan love u sssinperwolf
kerel kass,1:52,hi sniperwolf
Isla Dawes,1:53,what u eating
Midnight Wolfie,1:53,Wooooo sniperwolf go you can winnnnnnn
Cutie Jules,1:53,What are you eating?
cultured-salt008 on 60hz,1:53,
Ismail Abu-Rahmeh,1:54,so many comments I'm getting dizzy lol
Midnight seal gacha and more,1:54,Yah
ruben Camarillo,1:54,whats up
Kool Kat,1:54,How long has it been since you’ve played Fortnite
Lucas Svanberg,1:54,Can you please do more spoiled girl
Meriezrobloxzvids Robloxismylife,1:54,Hi liaa
Crazykid Chima,1:54,Hey lia
kevin Kiosia,1:54,can you say hi paula
Jeanette Molina,1:54,:buffering::buffering::buffering:
Eleonora Zuberi,1:54,:goodvibes::goodvibes:
Olvera Videos,1:55,can u say “hello im your favorite french youtuber”
Haasini Beeravolu,1:55,DIDNT SHE GET BANNES
Itzz_ Elaina,1:55,Omgggg ilysm
Namjoons Toes⟭⟬,1:55,IM GONNA GO PLAY FORTNITE NOW!~
Anime Freak,1:55,LIA NOT THE FORTNITE
Balsem Barhoumi,1:55,my favourite YouTuber
Jay Jay,1:56,hello 😁
ItsYourDestinee,1:56,notice meeeeeee
hellraiser blood box,1:57,hi
Be J,1:57,though
WESLEE WILSON,1:57,I love you so much
Tiane Herman,1:58,Hi
Jean luc marcus esparon,1:58,Hi sssniperwolf I love you
Le mode magique!,1:58,hey
Aliyahna Navarro,1:58,u r my fav YouTuber
Kimyurivale Guieb,1:58,hiiiiii!!!!!
madison Dulen,1:58,hiiiiiiiii
tanisha Samuels,1:58,hi
Crazykid Lit,1:59,HELLO LIA
Joanna Estrada,1:59,hiii
Emily Rodas,1:59,Omg so excited!!!
Crizell Van Aswegen,1:59,hallo
nooobmcnoob Victoria,1:59,start playing
Savannah A,1:59,hiiiii
Trex -the-potato,1:59,I have waited so long :virtualhug::virtualhug::virtualhug::virtualhug::virtualhug:
Dania Arroyo,1:59,hello
Alex Tu,1:59,the that i made
Anni Kitty,2:00,can you say hi 2 me?
kaylijay Thomas,2:00,heyy
Cassie P.,2:00,Huge fan
Kristy Redding,2:00,Hi
Sanahsanyah07 Moo,2:00,hows your day
DogGirlGaming,2:00,Hi
slimey,2:00,Love u
A. dolet,2:00,YOUR THE BESTTTTTTTTTTTTTTTT I LOVE YOUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
alma oriedi,2:00,i love your looks'
Twinningatanewlevel,2:00,hi
MRBEASTPRO PUBGMOBILE,2:01,luv you
Aida Luz Fontanez,2:01,sup
Emma Gasper,2:01,frontnite
Ruth Bogan,2:01,8.4K ALREADY?
Animal Lover,2:01,Ay
gamer asma,2:01,im a huge fan
Not Yeet,2:01,It’s evening here
Bre’Auna Carter,2:01,Hi
Reyanna Beshpatty,2:01,hello
XItz_Ryxn !,2:01,hii big fan also on ps4
shuab hersi,2:01,Heloo
Phoenix Stryker,2:01,Hey!
Andrea Cortez,2:01,hi
Sarmad Okkeh,2:01,hi
